गॉथिक	ഗാഥിക്
कोलोनियल	കോലോനിയല്
इंग्लिश	ഇംഗ്ലിശ്
आइडेंटिटी	ആഇഡേംടിടീ
इंग्लैंड	ഇംഗ്ലൈംഡ്
सेटलर्स	സേട്ലര്സ്
आयरलैंड	ആയര്ലൈംഡ്
ब्रिटिश	ബ്രിടിശ്
ब्रिटेन	ബ്രിടേന്
ग्रेट	ഗ്രേട്
डायस्पोरा	ഡായസ്പോരാ
यूनिट	യൂനിട്
फ्रांस	ഫ്രാംസ്
इटली	ഇട്ലീ
एन	ഏന്
रेडक्लिफ	രേഡക്ലിഫ്
रोमांस	രോമാംസ്
इन	ഇന്
द	ദ്
फॉरेस्ट	ഫാരേസ്ട്
मिस्टरीज़	മിസ്ടരീസ്
ऑफ़	ആഫ്
उडॉल्फो	ഉഡാല്ഫോ
इटालियन	ഇടാലിയന്
मैरी	മൈരീ
शेलीस	ശേലീസ്
फ्रैंकेंस्टीन	ഫ്രൈംകേംസ്ടീന്
होम	ഹോമ്
ग्राउंड	ഗ്രാഉംഡ്
कैथोलिक	കൈഥോലിക്
इम्पेरिअलिस्टिक	ഇമ്പേരിഅലിസ്ടിക്
रिटोरिक	രിടോരിക്
डोमेस्टिसिटी	ഡോമേസ്ടിസിടീ
सेंसिबिलिटी	സേംസിബിലിടീ
डोमेस्टिकेशन	ഡോമേസ്ടികേശന്
डायोनिसस	ഡായോനിസസ്
एंग्लो	ഏംഗ്ലോ
इम्पेरियर	ഇമ്പേരിയര്
इम्पीरियल	ഇമ്പീരിയല്
हेटेरोजिनिक	ഹേടേരോജിനിക്
फ़िल्टर	ഫില്ടര്
चैनल	ചൈനല്
बार्बरिक	ബാര്ബരിക്
विक्टोरियन	വിക്ടോരിയന്
फ़िक्शन	ഫിക്ശന്
सेटिंग्स	സേടിംഗ്സ്
अनप्लग्ड	അനപ്ലഗ്ഡ്
कॉस्मिक	കാസ്മിക്
डेप्थ	ഡേപ്ഥ്
टेम्पोरल	ടേമ്പോരല്
डिस्कबोबुलेशन	ഡിസ്കബോബുലേശന്
डेप्थ्स	ഡേപ്ഥ്സ്
चैनलाइज्ड	ചൈന്ലാഇജ്ഡ്
बिथिया	ബിഥിയാ
क्रोकर	ക്രോകര്
एलिस	ഏലിസ്
पेरिन	പേരിന്
डार्विन	ഡാര്വിന്
और	ഔര്
थ्योरी	ഥ്യോരീ
विल्की	വില്കീ
कॉलिन्स	കാലിന്സ്
मूनस्टोन	മൂനസ്ടോന്
एक्सहॉस्टिवली	ഏക്സഹാസ്ടിവ്ലീ
